# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.05%             1  8             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efb9130                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f4ee9f0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc39780                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc397f8                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac02_                                                  kernel-858.exe     [.] 0x00007fff6e52a140                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6dcfa090                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e332fb0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e48d710                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6ddd6980                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e1aec40                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e3faa80                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6ddf75e0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6e4a56d0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac08_                                                  kernel-858.exe     [.] 0x00007fff6dc39ad0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac08_                                                  kernel-858.exe     [.] 0x00007fff6e3f75b0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6e3a8710                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6def4fc0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6dc399e0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e29ad70                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e512330                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6dc39ad0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e3f65a0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e572fd0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e0abdb0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e0c0a70                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e117160                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6dc39860                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6dc39898                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e30bfb0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e58e7d0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e0d8570                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e3d6250                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc39770                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc39840                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e1570a0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e3dbbf0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e4eef20                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6dc399f0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6dc39a88                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e1cc3a0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e239df0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e1ed6f0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e3e3670                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e44fed0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e557ba0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e586ef0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e5c1970                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6dc39670                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e29c1d0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2a8020                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e355bf0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e3f25f0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e458ec0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e5574b0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6dc398f8                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6df28b60                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e0806b0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e125cf0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv04_                                                   kernel-858.exe     [.] 0x00007fff6dc39908                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv04_                                                   kernel-858.exe     [.] 0x00007fff6e4443c0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e4b7a70                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e523890                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e5a7bb0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6e307770                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6f1236e0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6e228420                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dc39878                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6f0d7090                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc38f88                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc39200                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc39450                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6fa204a0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6dc39648                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc37fe0                        [stack]                                       None          L1 or L2 hit            No    
     0.05%             1  8             L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f7143e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] __d_shrink                                                                 [kernel.kallsyms]  [k] d_hash_mask+0x0                           [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] __do_fault                                                                 [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee95c          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6ef95000                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f058380                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] __list_add                                                                 [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee7e0          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] __rmqueue                                                                  [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee3b0          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] __schedule                                                                 [kernel.kallsyms]  [k] __per_cpu_end+0xffff88103fbffbb8          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] _raw_spin_unlock                                                           [kernel.kallsyms]  [k] __per_cpu_end+0xffff88103fd02c0c          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] cl_object_top                                                              [obdclass]         [k] 0xffffffffa08c123c                        [libcfs]                                      None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] copy_user_generic_string                                                   [kernel.kallsyms]  [k] __per_cpu_end+0xffff880fe28a1b82          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] do_close_on_exec                                                           [kernel.kallsyms]  [k] 0xffff880a7f503d58                        [unknown]                                     None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f71fb3c                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f7d072c                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f90cbb4                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fcceaac                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fd4e790                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] generic_file_aio_read                                                      [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee900          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] get_page_from_freelist                                                     [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee794          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] get_page_from_freelist                                                     [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee7e8          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] get_pageblock_flags_group                                                  [kernel.kallsyms]  [k] __per_cpu_end+0xffff88107ffc0ac8          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] handle_mm_fault                                                            [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee710          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] kiblnd_find_peer_locked                                                    [ko2iblnd]         [k] 0xffff880a7f503418                        [unknown]                                     None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] ldlm_res_hop_fid_hash                                                      [ptlrpc]           [k] __per_cpu_end+0xffff880a7f4edd78          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] link_path_walk                                                             [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee8d0          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] ll_fault_io_init.isra.6                                                    [lustre]           [k] 0xffffffffa08c123e                        [libcfs]                                      None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] ll_release                                                                 [lustre]           [k] __per_cpu_end+0xffff880a7f4ee7b0          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] lock_res_and_lock                                                          [ptlrpc]           [k] __per_cpu_end+0xffff880984658c80          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] mem_cgroup_newpage_charge                                                  [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee698          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] memcmp                                                                     [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4edf6d          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] memcpy                                                                     [kernel.kallsyms]  [k] 0xffff880a7f503c08                        [unknown]                                     None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [k] memcpy                                                                     [kernel.kallsyms]  [k] 0xffff880a7f503d35                        [unknown]                                     None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_gas_phase_chemdr_mp_gas_phase_chemdr_                                   kernel-858.exe     [.] 0x00007fff6f7ded90                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_gas_phase_chemdr_mp_gas_phase_chemdr_                                   kernel-858.exe     [.] 0x00007fff6f92f278                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_gas_phase_chemdr_mp_gas_phase_chemdr_                                   kernel-858.exe     [.] 0x00007fff6fcab400                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_gas_phase_chemdrgas_phase_chemdr_mp_kv_gas_phase_chemdr_real__r8_dim3_  kernel-858.exe     [.] 0x00007fff6f82a0c0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38ebc                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38ef0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38efc                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38f5c                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38fb4                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc38fc0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc3906c                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc390e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39120                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39160                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc391e8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc391f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc3930c                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39420                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc395b0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39690                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39738                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc397e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc397f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39868                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39870                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39880                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efb6520                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efbb1c0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efc9730                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efdbb00                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efee940                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6eff0b10                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f018960                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f0228e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f0ecec8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f11b1c0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f148000                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f1628e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f66b2e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f66b2f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f66b730                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f66b8a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f66ba40                        [stack]                                       None          L1 or L2 hit            No    
