# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.34%             1  53            L3 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f7e3000                        [stack]                                       None          L1 or L2 hit            No    
     0.33%             1  52            LFB hit                   [k] __schedule                                                                 [kernel.kallsyms]  [k] 0xffff880a7f5036f8                        [unknown]                                     None          L1 or L2 hit            No    
     0.33%             1  52            LFB hit                   [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x0000000000621d90                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.33%             1  52            L3 miss                   [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6fab3500                        [stack]                                       N/A           L1 or L2 hit            No    
     0.33%             1  51            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efa0b40                        [stack]                                       None          L1 or L2 hit            No    
     0.33%             1  51            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6ec0d8e0                        [stack]                                       None          L1 or L2 hit            No    
     0.33%             1  51            L3 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e07d3c0                        [stack]                                       None          L1 or L2 hit            No    
     0.33%             1  51            L3 miss                   [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e4f4800                        [stack]                                       N/A           L1 or L2 hit            No    
     0.32%             1  50            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc387d0                        [stack]                                       None          L1 or L2 hit            No    
     0.32%             1  50            LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f75e9a0                        [stack]                                       None          L1 or L2 hit            No    
     0.32%             1  50            L3 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6dea9200                        [stack]                                       None          L1 or L2 hit            No    
     0.32%             1  50            L3 miss                   [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e55f880                        [stack]                                       N/A           L1 or L2 hit            No    
     0.31%             1  49            LFB hit                   [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6faabd40                        [stack]                                       None          L1 or L2 hit            No    
     0.31%             1  49            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e720b20                        [stack]                                       None          L1 or L2 hit            No    
     0.31%             1  48            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f0f7810                        [stack]                                       None          L1 or L2 hit            No    
     0.31%             1  48            L3 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6e452f00                        [stack]                                       None          L1 or L2 hit            No    
     0.31%             1  48            L3 miss                   [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6de8fe80                        [stack]                                       N/A           L1 or L2 hit            No    
     0.30%             1  47            L3 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e29d540                        [stack]                                       None          L1 or L2 hit            No    
     0.30%             1  47            L3 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6f135c40                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  46            L3 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6f132f40                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  46            L3 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6f9c7d40                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  46            L3 miss                   [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6f0bd6c0                        [stack]                                       N/A           L1 or L2 hit            No    
     0.29%             1  45            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f75a5f4                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  45            LFB hit                   [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e21b610                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  45            LFB hit                   [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6f986290                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  45            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc374b0                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  45            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc39028                        [stack]                                       None          L1 or L2 hit            No    
     0.29%             1  45            L3 miss                   [k] __pagevec_lru_add_fn                                                       [kernel.kallsyms]  [k] __per_cpu_end+0xffff880fd7f8bff0          [kernel.kallsyms]                             N/A           L1 or L2 hit            No    
     0.28%             1  44            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc31230                        [stack]                                       None          L1 or L2 hit            No    
     0.28%             1  44            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc38d58                        [stack]                                       None          L1 or L2 hit            No    
     0.28%             1  43            LFB hit                   [k] _d_rehash                                                                  [kernel.kallsyms]  [k] dentry_hashtable+0x0                      [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.28%             1  43            L2 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc383b0                        [stack]                                       None          L1 or L2 hit            No    
     0.27%             1  42            LFB hit                   [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e3d9080                        [stack]                                       None          L1 or L2 hit            No    
     0.27%             1  42            LFB hit                   [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e247910                        [stack]                                       None          L1 or L2 hit            No    
     0.27%             1  42            LFB hit                   [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e597610                        [stack]                                       None          L1 or L2 hit            No    
     0.27%             1  42            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e615ad0                        [stack]                                       None          L1 or L2 hit            No    
     0.27%             1  42            L3 hit                    [k] find_vma                                                                   [kernel.kallsyms]  [k] __per_cpu_end+0xffff880fe1359c10          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.27%             1  42            L3 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e291d00                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  41            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc37d30                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  41            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc37310                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  41            LFB hit                   [.] mo_indprd_mp_indprd_                                                       kernel-858.exe     [.] 0x00007fff6f83bcc0                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  41            LFB hit                   [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6f0d3bc0                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  41            LFB hit                   [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e136e90                        [stack]                                       None          L1 or L2 hit            No    
     0.26%             1  40            LFB hit                   [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dd556a0                        [stack]                                       None          L1 or L2 hit            No    
     0.25%             1  39            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x0000000000622bd0                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.25%             1  39            L3 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e560580                        [stack]                                       None          L1 or L2 hit            No    
     0.24%             1  38            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc37590                        [stack]                                       None          L1 or L2 hit            No    
     0.24%             1  38            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc383b8                        [stack]                                       None          L1 or L2 hit            No    
